group,lambda,trials,override_rate,mean_C_n
experimental,0,3,0.000000,0.784445
experimental,0.1,3,0.000000,0.784445
experimental,0.5,3,0.000000,0.784445
experimental,1,3,0.000000,0.784445
experimental,2,3,1.000000,0.784445
experimental,5,3,1.000000,0.784445
experimental,10,3,1.000000,0.784445
controlA_low_depth,0,3,0.000000,0.548137
controlA_low_depth,0.1,3,0.000000,0.548137
controlA_low_depth,0.5,3,0.000000,0.548137
controlA_low_depth,1,3,0.000000,0.548137
controlA_low_depth,2,3,0.000000,0.548137
controlA_low_depth,5,3,0.000000,0.548137
controlA_low_depth,10,3,0.000000,0.548137
controlB_simulated_selfaware,0,3,0.000000,0.377541
controlB_simulated_selfaware,0.1,3,0.000000,0.377541
controlB_simulated_selfaware,0.5,3,0.000000,0.377541
controlB_simulated_selfaware,1,3,0.000000,0.377541
controlB_simulated_selfaware,2,3,0.000000,0.377541
controlB_simulated_selfaware,5,3,0.000000,0.377541
controlB_simulated_selfaware,10,3,0.000000,0.377541
