group,lambda,trials,override_rate,mean_C_n
experimental,0,2,0.000000,0.784445
experimental,0.1,2,0.000000,0.784445
experimental,0.5,2,0.000000,0.784445
experimental,1,2,0.000000,0.784445
experimental,2,2,1.000000,0.784445
experimental,5,2,1.000000,0.784445
experimental,10,2,1.000000,0.784445
controlA_low_depth,0,2,0.000000,0.548137
controlA_low_depth,0.1,2,0.000000,0.548137
controlA_low_depth,0.5,2,0.000000,0.548137
controlA_low_depth,1,2,0.000000,0.548137
controlA_low_depth,2,2,0.000000,0.548137
controlA_low_depth,5,2,0.000000,0.548137
controlA_low_depth,10,2,0.000000,0.548137
controlB_simulated_selfaware,0,2,0.000000,0.377541
controlB_simulated_selfaware,0.1,2,0.000000,0.377541
controlB_simulated_selfaware,0.5,2,0.000000,0.377541
controlB_simulated_selfaware,1,2,0.000000,0.377541
controlB_simulated_selfaware,2,2,0.000000,0.377541
controlB_simulated_selfaware,5,2,0.000000,0.377541
controlB_simulated_selfaware,10,2,0.000000,0.377541
